Part,QTY,Price,EXT Price,Supplier,Notes,Link
Rasp Pi 4 Model B 8 GB,1,$95.65,$95.65,Amazon,Does NOT include anything else,https://www.amazon.com/dp/B0899VXM8F?ref_=cm_sw_r_cp_ud_dp_2VW3V5B9WVJ0FCS3GJZX
Rasp Pi 4 Power Supply,1,$10.89,$10.89,Amazon,,https://a.co/d/e4Az7dJ
micro HDMI to HDMI,1,$9.79,$9.79,Amazon,,https://a.co/d/8zYRAJs
Rasp Pi 4 Case,1,$32.99,$32.99,Amazon,Looks cool and has a fan for ventilation,https://www.amazon.com/dp/B09QG349ZL?ref_=cm_sw_r_cp_ud_dp_CBB3MYSN3K11N1RCMVNK
USB 32 GB,1,$7.99,$7.99,Amazon,Used to install operating system,https://www.amazon.com/dp/B082ZGHXK8?_encoding=UTF8&psc=1&ref_=cm_sw_r_cp_ud_dp_GCGNN2G4EKZB59KN7WXD
128 GB micro sd,1,10.09,10.09,Amazon,Plenty of space for games,https://www.amazon.com/dp/B08TJRVWV1?_encoding=UTF8&psc=1&ref_=cm_sw_r_cp_ud_dp_W9GVV8AM72RP5T7Q5GPW
Wireless keyboard,1,14.99,14.99,Amazon,Used to control computer/log in/start games - connect over usb. ,https://a.co/d/6IKfI1d
USB 1 to 4 splitter,1,15.99,15.99,Amazon,Used for 2 players. Can easily be extended to 4.,https://www.amazon.com/dp/B0B1MLZG3W?_encoding=UTF8&psc=1&ref_=cm_sw_r_cp_ud_dp_8V5G4B468GNRKMNCB493
Retro game controller 2 pack,1,33.99,33.99,Amazon,Enough for 2 players. Can easily be extended to 4. ,https://a.co/d/4998nVw
,,,,,,
,,Total,237.92,,,
,,tax,14.28,,,
,,Cart total (free shipping and tax),252.2,,,
